Unique ID,Campaign type,Season,LTP,Date,Planned window (UT),Triggered by,EUI observed (UT),EUI files,EUI cadence,EUI status,EUI SOOP in SOAR,SPICE observed (UT),SPICE files,SPICE cadence,SPICE status,SPICE SOOP in SOAR,PHI observed (UT),PHI files,PHI cadence,PHI status,PHI SOOP in SOAR,Instruments in SOAR,Source,Notes,EUI start (UTC),EUI end (UTC),SPICE start (UTC),SPICE end (UTC),PHI start (UTC),PHI end (UTC)
MFT20251129a,Flare Hunting,Winter 2025,LTP21,2025-11-29,10:00 - 14:00,EUI,10:00 - 13:59,4850,2 s,as planned,L_BOTH_HRES_HCAD_Flare-Hunting,,,,no data,,,,,n/a - PHI does not run flare-hunting,,EUI,Catalogue,,2025-11-29 10:00,2025-11-29 13:59,,,,
MFT20251130a,Flare Hunting,Winter 2025,,2025-11-30,,,00:17 - 01:04,552,2 s,observed,none,,,,,,,,,n/a - PHI does not run flare-hunting,,EUI,SOAR,"Found in SOAR, not in the original catalogue",2025-11-30 00:17,2025-11-30 01:04,,,,
MFT20251130b,Flare Hunting,Winter 2025,,2025-11-30,,,10:00 - 13:59,4999,2 s,observed,none,,,,,,,,,n/a - PHI does not run flare-hunting,,EUI,SOAR,"Found in SOAR, not in the original catalogue",2025-11-30 10:00,2025-11-30 13:59,,,,
MFT20251210a,Flare Hunting,Winter 2025,LTP21,2025-12-10,06:00 - 10:00,EUI,06:00 - 09:59,5397,2 s,as planned,L_BOTH_HRES_HCAD_Flare-Hunting;none,,,,no data,,,,,n/a - PHI does not run flare-hunting,,EUI,Catalogue,,2025-12-10 06:00,2025-12-10 09:59,,,,
MFT20251211a,Flare Hunting,Winter 2025,LTP21,2025-12-11,01:36 - 05:36,EUI,01:36 - 05:35,5400,2 s,as planned,L_BOTH_HRES_HCAD_Flare-Hunting,,,,no data,,,,,n/a - PHI does not run flare-hunting,,EUI,Catalogue,,2025-12-11 01:36,2025-12-11 05:35,,,,
MFT20251211b,Flare Hunting,Winter 2025,LTP21,2025-12-11,21:12 - 01:12 (+1d),EUI,21:12 - 01:11 (+1d),5400,2 s,as planned,L_BOTH_HRES_HCAD_Flare-Hunting,18:19 - 21:35,2,11712 s,started 173 min early,R_FULL_LRES_LCAD_RS-Synoptics-High,,,,n/a - PHI does not run flare-hunting,,"EUI, SPICE",Catalogue,,2025-12-11 21:12,2025-12-12 01:11,2025-12-11 18:19,2025-12-11 21:35,,
MFT20251212a,Flare Hunting,Winter 2025,LTP21,2025-12-12,16:48 - 20:48,EUI,16:48 - 20:47,5400,2 s,as planned,L_BOTH_HRES_HCAD_Flare-Hunting,18:00 - 21:35,3,1122 s,started 73 min late; ended 48 min late; ran past planned window,R_FULL_LRES_LCAD_RS-Synoptics-High,,,,n/a - PHI does not run flare-hunting,,"EUI, SPICE",Catalogue,,2025-12-12 16:48,2025-12-12 20:47,2025-12-12 18:00,2025-12-12 21:35,,
MFT20251213a,Flare Hunting,Winter 2025,LTP21,2025-12-13,12:24 - 16:24,EUI,12:24 - 16:23,5399,2 s,as planned,L_BOTH_HRES_HCAD_Flare-Hunting,,,,no data,,,,,n/a - PHI does not run flare-hunting,,EUI,Catalogue,,2025-12-13 12:24,2025-12-13 16:23,,,,
MFT20251214a,Flare Hunting,Winter 2025,LTP21,2025-12-14,08:00 - 12:00,EUI,08:00 - 11:59,5400,2 s,as planned,L_BOTH_HRES_HCAD_Flare-Hunting,06:19 - 09:35,2,11709 s,started 101 min early,R_FULL_LRES_LCAD_RS-Synoptics-High,,,,n/a - PHI does not run flare-hunting,,"EUI, SPICE",Catalogue,,2025-12-14 08:00,2025-12-14 11:59,2025-12-14 06:19,2025-12-14 09:35,,
MFT20260128a,Flare Hunting,Winter 2025,,2026-01-28,,,08:20 - 11:09,3816,2 s,observed,L_BOTH_HRES_HCAD_Flare-Hunting,,,,,,,,,n/a - PHI does not run flare-hunting,,EUI,SOAR,"Found in SOAR, not in the original catalogue",2026-01-28 08:20,2026-01-28 11:09,,,,
